case,twist,youngs_modulus,base_radius,density,coner_angle,length,scenario,tgt_dir
2,0.0,0.003605,2.43,1.23e-06,0.0,178.55200000000002,length_10,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3978858539725364) np.float64(0.8946136716692386)
  np.float64(-0.2033549253670276)]]"
3,0.0,0.003605,2.43,1.23e-06,0.0,162.32,baseline,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,-10.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,-5.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,5.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,10.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.0032445,2.43,1.23e-06,0.0,162.32,youngs_modulus_-10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.00342475,2.43,1.23e-06,0.0,162.32,youngs_modulus_-5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.0037852500000000004,2.43,1.23e-06,0.0,162.32,youngs_modulus_5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.0039655,2.43,1.23e-06,0.0,162.32,youngs_modulus_10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.1870000000000003,1.23e-06,0.0,162.32,base_radius_-10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.3085,1.23e-06,0.0,162.32,base_radius_-5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.5515000000000003,1.23e-06,0.0,162.32,base_radius_5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.6730000000000005,1.23e-06,0.0,162.32,base_radius_10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.43,1.1070000000000002e-06,0.0,162.32,density_-10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.43,1.1685000000000001e-06,0.0,162.32,density_-5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.43,1.2915e-06,0.0,162.32,density_5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.43,1.3530000000000002e-06,0.0,162.32,density_10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.5940220542434235) np.float64(0.8008740731322197)
  np.float64(-0.07575300691742402)]]"
3,0.0,0.003605,2.43,1.23e-06,-10.0,162.32,coner_angle_-10,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.576851512747293) np.float64(0.811019660143919)
  np.float64(0.09741377264638716)]]"
3,0.0,0.003605,2.43,1.23e-06,-5.0,162.32,coner_angle_-5,"[[np.float64(-0.1265010989269523) np.float64(0.0)
  np.float64(-0.9919664671601925)]
 [np.float64(-0.7944402249651616) np.float64(0.5988327971851642)
  np.float64(0.10131145035333015)]
 [np.float64(0.6196618552353117) np.float64(0.7697864923665987)
  np.float64(-0.15312720638821847)]]"
